name,variant,condition,city,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,Original_Price,Price
Toyota Fortuner,V (Top),Poor,Tier 2 (Medium),2023,125689.55,CNG,Manual,Second Owner,10.0,2755,201,7,3733001.63,3338635.76
Honda City,S (Mid),Good,Rural (Low),2019,565426.4045344406,CNG,Manual,Second Owner,17.0,1498,119,5,1453279.94,443498.7
Mahindra Thar,Mid,Excellent,Tier 2 (Medium),2011,74246.34,CNG,Automatic,Second Owner,15.0,1997,150,4,1739879.04,550962.67
Toyota Glanza,V (Top),Excellent,Metro (High Demand),2022,29460.34,CNG,Automatic,First Owner,22.0,1197,88,5,1107578.47,983283.95
Volkswagen Virtus,Trendline (Base),Fair,Tier 2 (Medium),2017,138778.7,CNG,Automatic,First Owner,18.0,1498,148,5,1744999.14,548087.23
Mahindra XUV700,Base,Good,Metro (High Demand),2012,21608.49,Diesel,Automatic,First Owner,13.0,2198,182,7,2239971.55,684684.45
Maruti Suzuki Baleno,LXI (Base),Good,Metro (High Demand),2023,33234.15,CNG,Manual,First Owner,22.0,1197,88,5,849106.1,727771.48
Mahindra XUV300,Mid,Good,Metro (High Demand),2013,63967.52,CNG,Manual,Second Owner,17.0,1197,108,5,1184091.7,368964.12
Volkswagen Taigun,Trendline (Base),Fair,Tier 2 (Medium),2020,108516.11,Petrol,Manual,Second Owner,16.0,1498,148,5,1418327.2,444541.33
Honda City,S (Mid),Good,Tier 2 (Medium),2025,77428.44,CNG,Manual,First Owner,17.0,1498,119,5,1492618.2,1328657.41
Maruti Suzuki Swift,LXI (Base),Good,Metro (High Demand),2015,20624.47,CNG,Manual,First Owner,21.0,1197,82,5,699419.21,319710.17
Toyota Innova,G (Base),Good,Metro (High Demand),2017,73013.15,CNG,Automatic,Third Owner,11.0,2393,148,7,2716476.82,920875.93
Toyota Innova,V (Top),Good,Tier 2 (Medium),2016,87479.44,Petrol,Manual,Third Owner,11.0,2393,148,7,2665944.16,932620.96
Maruti Suzuki Swift,ZXI (Top),Good,Tier 2 (Medium),2011,45608.11,Diesel,Manual,Second Owner,21.0,1197,82,5,889007.21,277114.05
Honda Amaze,S (Mid),Good,Metro (High Demand),2011,50035.5,CNG,Manual,Second Owner,18.0,1199,88,5,946240.46,296648.05
Maruti Suzuki Dzire,ZXI (Top),Fair,Rural (Low),2013,121660.95,Petrol,Manual,Second Owner,23.0,1197,88,5,849464.01,267565.81
Toyota Fortuner,V (Top),Fair,Metro (High Demand),2023,52116.59,CNG,Manual,Third Owner,10.0,2755,201,7,3661549.63,2243763.26
Tata Tiago,XE (Base),Good,Metro (High Demand),2021,127247.52,Petrol,Manual,Second Owner,20.0,1199,84,5,690929.53,310832.47
Maruti Suzuki Swift,VXI (Mid),Fair,Tier 2 (Medium),2012,148243.58,CNG,Manual,Second Owner,21.0,1197,82,5,761589.21,249032.85
Tata Tiago,XM (Mid),Fair,Metro (High Demand),2015,97771.87,Diesel,Automatic,First Owner,20.0,1199,84,5,1001481.71,310664.47
Tata Tiago,XE (Base),Poor,Rural (Low),2022,69686.76,Diesel,Automatic,First Owner,20.0,1199,84,5,959529.46,448553.82
Mahindra Thar,Base,Fair,Metro (High Demand),2023,25923.39,Petrol,Manual,First Owner,15.0,1997,150,4,1592910.45,1196349.53
Volkswagen Polo,Highline (Top),Fair,Metro (High Demand),2015,74151.98,Petrol,Automatic,Second Owner,18.0,999,108,5,1079263.62,343454.6
Volkswagen Vento,Highline (Top),Excellent,Tier 2 (Medium),2023,125786.67,Diesel,Manual,First Owner,17.0,999,108,5,1331866.35,989062.27
Maruti Suzuki Brezza,VXI (Mid),Good,Tier 2 (Medium),2011,56014.24,Diesel,Manual,First Owner,19.0,1462,103,5,1052126.39,337206.49
Toyota Urban Cruiser,V (Top),Good,Tier 2 (Medium),2015,38096.86,Diesel,Automatic,Second Owner,18.0,1462,103,5,1336178.18,435278.43
Maruti Suzuki Swift,ZXI (Top),Good,Rural (Low),2020,57801.05,Diesel,Automatic,Second Owner,21.0,1197,82,5,1031402.63,518399.03
Toyota Innova,V (Top),Good,Metro (High Demand),2019,18283.99,Petrol,Manual,First Owner,11.0,2393,148,7,2631442.5,1923311.24
Maruti Suzuki Dzire,ZXI (Top),Good,Metro (High Demand),2017,101336.9,Diesel,Manual,First Owner,23.0,1197,88,5,1035192.22,421865.8
Tata Harrier,XM (Mid),Excellent,Tier 2 (Medium),2011,29172.39,Diesel,Automatic,First Owner,16.0,1956,167,5,2069272.22,646523.56
Maruti Suzuki Brezza,VXI (Mid),Good,Rural (Low),2023,21965.75,CNG,Manual,Second Owner,19.0,1462,103,5,1068342.82,691856.16
Volkswagen Taigun,Highline (Top),Poor,Tier 2 (Medium),2019,35171.48,Petrol,Automatic,Second Owner,16.0,1498,148,5,1737379.87,565306.62
Tata Safari,XM (Mid),Fair,Tier 2 (Medium),2024,64780.31,Diesel,Automatic,Second Owner,14.0,1956,167,7,2343745.17,1388171.29
Kia Sonet,HTE (Base),Poor,Metro (High Demand),2011,65585.28,Petrol,Manual,First Owner,18.0,998,118,5,1111326.37,346430.93
Kia Sonet,HTE (Base),Fair,Tier 2 (Medium),2024,62362.73,Diesel,Manual,First Owner,18.0,998,118,5,1181814.56,826798.46
Honda Amaze,E (Base),Poor,Tier 2 (Medium),2015,38353.92,Petrol,Manual,Second Owner,18.0,1199,88,5,925647.02,291046.73
Kia Seltos,HTK (Mid),Good,Tier 2 (Medium),2023,82003.78,Diesel,Manual,First Owner,16.0,1497,113,5,1866756.3,1436715.1
Tata Harrier,XM (Mid),Poor,Rural (Low),2024,34845.12,Diesel,Manual,Third Owner,16.0,1956,167,5,2081761.34,921871.54
Volkswagen Polo,Highline (Top),Fair,Rural (Low),2024,142929.16,CNG,Automatic,First Owner,18.0,999,108,5,1021424.02,639437.32
Volkswagen Taigun,Trendline (Base),Fair,Tier 2 (Medium),2025,56000.23,CNG,Manual,Second Owner,16.0,1498,148,5,1531957.81,977403.51
Toyota Innova,V (Top),Good,Tier 2 (Medium),2014,25009.83,CNG,Manual,First Owner,11.0,2393,148,7,2645812.73,1037225.45
Kia Seltos,HTK (Mid),Excellent,Metro (High Demand),2016,35263.19,Diesel,Manual,Second Owner,16.0,1497,113,5,1875921.68,761019.32
Kia Sonet,HTK (Mid),Good,Metro (High Demand),2014,104777.54,Petrol,Manual,Fourth & Above Owner,18.0,998,118,5,1136919.96,361345.89
Maruti Suzuki Swift,ZXI (Top),Good,Metro (High Demand),2024,149823.29,Petrol,Manual,First Owner,21.0,1197,82,5,796227.03,700024.72
Toyota Innova,G (Base),Good,Rural (Low),2015,53034.21,CNG,Automatic,Third Owner,11.0,2393,148,7,2633096.27,806553.64
Maruti Suzuki Baleno,ZXI (Top),Good,Rural (Low),2013,58263.67,CNG,Manual,First Owner,22.0,1197,88,5,935450.57,287784.46
Maruti Suzuki Alto,LXI (Base),Poor,Metro (High Demand),2024,23181.77,CNG,Automatic,First Owner,22.0,796,47,5,607880.97,383551.96
Kia Seltos,GTX (Top),Good,Tier 2 (Medium),2020,14283.38,Diesel,Automatic,Second Owner,16.0,1497,113,5,2012456.85,1088352.99
Toyota Glanza,G (Base),Excellent,Metro (High Demand),2024,18519.95,Petrol,Manual,Third Owner,22.0,1197,88,5,942012.33,696702.85
Honda Elevate,S (Mid),Excellent,Metro (High Demand),2024,59911.98,CNG,Automatic,Second Owner,15.0,1498,119,5,1578166.97,1263209.31
Tata Harrier,XM (Mid),Fair,Tier 2 (Medium),2015,120654.65,Petrol,Manual,First Owner,16.0,1956,167,5,1841111.33,576639.14
Volkswagen Vento,Highline (Top),Good,Metro (High Demand),2014,70287.03,Petrol,Automatic,First Owner,17.0,999,108,5,1454386.47,462087.39
Volkswagen Vento,Comfortline (Mid),Excellent,Tier 2 (Medium),2016,37323.25,CNG,Manual,Fourth & Above Owner,17.0,999,108,5,1261200.84,390309.7
Kia Seltos,GTX (Top),Good,Metro (High Demand),2017,114268.33,Diesel,Manual,First Owner,16.0,1497,113,5,1839037.48,682039.7
Mahindra XUV300,Base,Excellent,Tier 2 (Medium),2022,96971.04,Petrol,Automatic,First Owner,17.0,1197,108,5,1292896.05,924756.62
Volkswagen Taigun,Trendline (Base),Fair,Tier 2 (Medium),2016,104584.49,CNG,Automatic,First Owner,16.0,1498,148,5,1531228.78,481809.74
Hyundai Creta,E (Base),Good,Metro (High Demand),2022,28926.59,Diesel,Automatic,Third Owner,16.0,1497,113,5,1778494.95,1155324.85
Tata Tiago,XM (Mid),Good,Rural (Low),2014,36441.99,Petrol,Automatic,Second Owner,20.0,1199,84,5,905055.86,295145.1
Maruti Suzuki Alto,LXI (Base),Poor,Metro (High Demand),2011,70693.02,CNG,Manual,First Owner,22.0,796,47,5,402730.73,148810.89
Tata Tiago,XE (Base),Excellent,Tier 2 (Medium),2017,114189.49,Petrol,Automatic,First Owner,20.0,1199,84,5,808931.01,297977.88
Honda Elevate,S (Mid),Poor,Metro (High Demand),2023,47298.16,Diesel,Manual,First Owner,15.0,1498,119,5,1566286.77,1049097.41
Honda City,VX (Top),Fair,Metro (High Demand),2020,112899.64,CNG,Manual,First Owner,17.0,1498,119,5,1586400.34,749660.18
Kia Seltos,HTK (Mid),Excellent,Tier 2 (Medium),2016,15476.89,Petrol,Automatic,Second Owner,16.0,1497,113,5,1783513.1,628451.59
Maruti Suzuki Dzire,ZXI (Top),Fair,Metro (High Demand),2014,32632.71,CNG,Automatic,Second Owner,23.0,1197,88,5,1018178.53,316458.87
Volkswagen Virtus,Trendline (Base),Good,Metro (High Demand),2017,19270.63,CNG,Manual,First Owner,18.0,1498,148,5,1561680.52,722278.85
Volkswagen Taigun,Comfortline (Mid),Fair,Metro (High Demand),2020,112003.62,CNG,Manual,First Owner,16.0,1498,148,5,1556903.22,638442.26
Mahindra Scorpio,Base,Good,Tier 2 (Medium),2011,65071.17,CNG,Manual,First Owner,15.0,2184,130,7,1653308.71,511825.76
Maruti Suzuki Dzire,LXI (Base),Good,Metro (High Demand),2017,84659.21,CNG,Manual,Second Owner,23.0,1197,88,5,834814.48,264020.58
Toyota Urban Cruiser,V (Top),Poor,Tier 2 (Medium),2025,5232.31,Petrol,Manual,First Owner,18.0,1462,103,5,1225697.65,934442.72
Mahindra XUV700,Top,Good,Rural (Low),2022,82006.04,Diesel,Manual,Second Owner,13.0,2198,182,7,2270728.96,1442480.46
Hyundai Verna,E (Base),Good,Metro (High Demand),2022,29246.7,Petrol,Manual,Second Owner,19.0,1497,113,5,1259874.41,811959.73
Honda Elevate,E (Base),Poor,Metro (High Demand),2023,105948.23,CNG,Manual,First Owner,15.0,1498,119,5,1397272.37,672847.83
Tata Tiago,XZ (Top),Fair,Tier 2 (Medium),2023,102919.03,CNG,Automatic,Second Owner,20.0,1199,84,5,968130.3,469590.33
Honda Elevate,VX (Top),Good,Rural (Low),2011,60676.84,CNG,Automatic,First Owner,15.0,1498,119,5,1546838.48,485507.3
Tata Altroz,XM (Mid),Good,Rural (Low),2020,494739.4356720527,Petrol,Automatic,First Owner,19.0,1199,84,5,1068777.29,621262.25
Maruti Suzuki Dzire,VXI (Mid),Good,Tier 2 (Medium),2015,96029.08,CNG,Manual,Second Owner,23.0,1197,88,5,776637.18,245853.45
Honda Amaze,E (Base),Good,Tier 2 (Medium),2018,123063.79,Diesel,Manual,First Owner,18.0,1199,88,5,955973.49,338801.04
Hyundai i20,S (Mid),Fair,Rural (Low),2012,54716.05,Petrol,Manual,Second Owner,20.0,1197,82,5,840834.8,266296.36
Tata Nexon,XE (Base),Good,Metro (High Demand),2020,85814.02,Petrol,Manual,Second Owner,17.0,1199,118,5,1200154.72,553414.29
Volkswagen Polo,Highline (Top),Good,Tier 2 (Medium),2019,36325.18,Petrol,Manual,First Owner,18.0,999,108,5,903547.04,558877.71
Toyota Innova,V (Top),Excellent,Rural (Low),2022,103205.17,Petrol,Automatic,Second Owner,11.0,2393,148,7,2827984.58,1773806.71
Maruti Suzuki Baleno,VXI (Mid),Excellent,Tier 2 (Medium),2021,148629.43,Diesel,Manual,First Owner,22.0,1197,88,5,1025496.81,586352.11
Honda City,VX (Top),Excellent,Tier 2 (Medium),2014,49531.22,Petrol,Automatic,First Owner,17.0,1498,119,5,1678159.81,672284.26
Honda Amaze,S (Mid),Good,Tier 2 (Medium),2021,143049.07,Petrol,Automatic,Second Owner,18.0,1199,88,5,1044072.92,463596.72
Toyota Innova,V (Top),Fair,Metro (High Demand),2020,129573.15,Petrol,Manual,First Owner,11.0,2393,148,7,2672439.73,1346187.56
Honda City,VX (Top),Fair,Rural (Low),2022,412491.32723195606,CNG,Automatic,Second Owner,17.0,1498,119,5,1747899.65,977033.14
Toyota Fortuner,V (Top),Fair,Tier 2 (Medium),2020,148967.45,Diesel,Manual,Fourth & Above Owner,10.0,2755,201,7,3774116.72,1161813.85
Volkswagen Vento,Highline (Top),Fair,Metro (High Demand),2021,110525.38,CNG,Manual,Third Owner,17.0,999,108,5,1261227.99,426978.46
Volkswagen Polo,Highline (Top),Fair,Metro (High Demand),2024,30300.67,Diesel,Automatic,Second Owner,18.0,999,108,5,1125167.24,853799.75
Hyundai Venue,E (Base),Good,Tier 2 (Medium),2015,97898.35,Diesel,Automatic,Second Owner,18.0,998,118,5,1236209.49,386135.23
Honda City,E (Base),Good,Metro (High Demand),2012,43031.24,Petrol,Manual,First Owner,17.0,1498,119,5,1515693.58,468876.96
Volkswagen Polo,Trendline (Base),Excellent,Metro (High Demand),2021,11645.26,Diesel,Automatic,First Owner,18.0,999,108,5,1066699.3,808884.45
Maruti Suzuki Swift,VXI (Mid),Good,Tier 2 (Medium),2011,73619.06,Diesel,Manual,First Owner,21.0,1197,82,5,754801.24,252268.29
Honda City,S (Mid),Poor,Tier 2 (Medium),2020,135489.26,Petrol,Automatic,First Owner,17.0,1498,119,5,1675234.18,540313.46
Honda City,E (Base),Excellent,Tier 2 (Medium),2019,120488.68,Diesel,Manual,Third Owner,17.0,1498,119,5,1633139.65,566815.82
Toyota Fortuner,G (Base),Poor,Rural (Low),2021,137950.14,CNG,Manual,First Owner,10.0,2755,201,7,3509274.09,1419739.23
Hyundai Creta,E (Base),Excellent,Tier 2 (Medium),2023,88574.66,CNG,Manual,Third Owner,16.0,1497,113,5,1632034.48,1062312.69
Toyota Innova,G (Base),Excellent,Metro (High Demand),2025,84674.22,CNG,Automatic,First Owner,11.0,2393,148,7,2627242.32,2353525.76
Maruti Suzuki Swift,ZXI (Top),Good,Tier 2 (Medium),2016,91067.96,Diesel,Manual,Second Owner,21.0,1197,82,5,881799.94,339416.49
Mahindra Thar,Top,Good,Metro (High Demand),2025,22754.29,CNG,Manual,Third Owner,15.0,1997,150,4,1666881.42,1385760.23
Kia Seltos,GTX (Top),Excellent,Metro (High Demand),2018,7828.24,Diesel,Manual,Third Owner,16.0,1497,113,5,1924839.56,875056.0
Tata Altroz,XM (Mid),Good,Tier 2 (Medium),2012,10107.27,CNG,Automatic,Second Owner,19.0,1199,84,5,1048053.96,335228.62
Volkswagen Polo,Highline (Top),Poor,Tier 2 (Medium),2011,62348.32,Diesel,Manual,Third Owner,18.0,999,108,5,1033880.45,337308.9
Toyota Fortuner,G (Base),Excellent,Rural (Low),2019,118979.42,Diesel,Automatic,Second Owner,10.0,2755,201,7,3862416.58,1621727.53
Mahindra Bolero,Top,Fair,Rural (Low),2015,18551.42,CNG,Automatic,First Owner,16.0,1493,75,7,1182695.29,368981.64
Honda Amaze,S (Mid),Good,Tier 2 (Medium),2023,121184.56,Diesel,Manual,Second Owner,18.0,1199,88,5,1028528.55,543103.99
Tata Altroz,XZ (Top),Fair,Tier 2 (Medium),2025,99792.98,Petrol,Automatic,Second Owner,19.0,1199,84,5,1061838.69,731192.01
Toyota Fortuner,G (Base),Good,Tier 2 (Medium),2011,98577.49,CNG,Manual,Second Owner,10.0,2755,201,7,3587700.98,1087999.49
Honda Elevate,E (Base),Good,Rural (Low),2016,87698.15,CNG,Automatic,First Owner,15.0,1498,119,5,1548310.64,495818.88
Tata Safari,XZ (Top),Good,Metro (High Demand),2016,18126.08,Petrol,Automatic,Second Owner,14.0,1956,167,7,2283402.36,768449.74
Volkswagen Vento,Trendline (Base),Excellent,Rural (Low),2015,67188.08,CNG,Automatic,First Owner,17.0,999,108,5,1330290.95,445095.67
Toyota Innova,G (Base),Good,Metro (High Demand),2020,117679.31,Diesel,Automatic,Second Owner,11.0,2393,148,7,2721311.0,1173620.36
Tata Safari,XM (Mid),Poor,Tier 2 (Medium),2013,117945.72,Petrol,Manual,Second Owner,14.0,1956,167,7,2182199.21,676618.23
Honda Amaze,E (Base),Fair,Tier 2 (Medium),2021,121847.01,CNG,Automatic,First Owner,18.0,1199,88,5,1069476.33,474843.81
Volkswagen Virtus,Trendline (Base),Good,Metro (High Demand),2012,125477.61,Diesel,Automatic,First Owner,18.0,1498,148,5,1758062.47,556602.19
Maruti Suzuki Dzire,LXI (Base),Poor,Tier 2 (Medium),2016,7614.16,CNG,Manual,First Owner,23.0,1197,88,5,772771.76,251905.7
Tata Harrier,XM (Mid),Poor,Tier 2 (Medium),2017,123297.07,Petrol,Automatic,Third Owner,16.0,1956,167,5,1979526.94,610033.81
Volkswagen Vento,Comfortline (Mid),Fair,Metro (High Demand),2025,47786.91,Petrol,Manual,First Owner,17.0,999,108,5,1197166.31,1060823.76
Volkswagen Vento,Comfortline (Mid),Fair,Tier 2 (Medium),2017,142409.07,Petrol,Manual,Second Owner,17.0,999,108,5,1173346.7,378032.27
Volkswagen Vento,Trendline (Base),Poor,Tier 2 (Medium),2023,141190.49,Petrol,Manual,First Owner,17.0,999,108,5,1167388.88,527334.96
Maruti Suzuki Baleno,LXI (Base),Excellent,Rural (Low),2015,79019.04,Diesel,Manual,First Owner,22.0,1197,88,5,981304.1,310636.8
Mahindra Bolero,Top,Good,Metro (High Demand),2014,48683.75,Petrol,Manual,Second Owner,16.0,1493,75,7,1053441.85,330212.01
Mahindra Scorpio,Top,Excellent,Metro (High Demand),2025,123948.63,CNG,Automatic,First Owner,15.0,2184,130,7,1949251.8,1738895.65
Honda Amaze,S (Mid),Fair,Rural (Low),2019,16797.51,Petrol,Automatic,First Owner,18.0,1199,88,5,982209.77,440983.36
Hyundai i20,S (Mid),Good,Metro (High Demand),2014,68464.47,CNG,Automatic,Second Owner,20.0,1197,82,5,1019293.62,324133.67
Maruti Suzuki Brezza,LXI (Base),Excellent,Metro (High Demand),2013,13019.96,Petrol,Manual,First Owner,19.0,1462,103,5,989220.74,333351.92
Toyota Glanza,G (Base),Fair,Tier 2 (Medium),2024,98803.17,CNG,Manual,Second Owner,22.0,1197,88,5,836761.01,498634.09
Honda Amaze,E (Base),Good,Tier 2 (Medium),2025,108813.6,Diesel,Manual,Third Owner,18.0,1199,88,5,938290.69,522155.67
Maruti Suzuki Swift,LXI (Base),Fair,Metro (High Demand),2011,28830.23,CNG,Automatic,Third Owner,21.0,1197,82,5,774171.45,249041.19
Volkswagen Taigun,Highline (Top),Excellent,Rural (Low),2022,26741.96,CNG,Automatic,Third Owner,16.0,1498,148,5,1638387.07,972970.11
Mahindra Scorpio,Mid,Fair,Tier 2 (Medium),2015,20320.9,Petrol,Manual,First Owner,15.0,2184,130,7,1678701.21,576753.22
Toyota Urban Cruiser,V (Top),Excellent,Rural (Low),2022,35775.31,Petrol,Automatic,Second Owner,18.0,1462,103,5,1255907.19,867050.44
Kia Sonet,HTK (Mid),Good,Metro (High Demand),2020,25784.12,Petrol,Automatic,First Owner,18.0,998,118,5,1204113.33,787513.69
Tata Nexon,XZ (Top),Excellent,Tier 2 (Medium),2023,62771.72,Diesel,Manual,Third Owner,17.0,1199,118,5,1367824.42,913001.95
Kia Seltos,HTE (Base),Fair,Tier 2 (Medium),2025,47969.59,Petrol,Manual,First Owner,16.0,1497,113,5,1718868.62,1415271.11
Hyundai i20,S (Mid),Fair,Metro (High Demand),2025,24814.88,CNG,Manual,First Owner,20.0,1197,82,5,911064.54,793094.66
Honda City,S (Mid),Fair,Tier 2 (Medium),2022,70167.49,Diesel,Manual,Second Owner,17.0,1498,119,5,1584639.08,729014.64
Mahindra XUV300,Top,Good,Tier 2 (Medium),2016,110135.58,CNG,Manual,First Owner,17.0,1197,108,5,1284238.64,434067.01
Honda Amaze,E (Base),Fair,Rural (Low),2020,67698.58,Diesel,Manual,Second Owner,18.0,1199,88,5,963208.37,316955.79
Mahindra XUV700,Mid,Good,Rural (Low),2021,63323.47,Petrol,Manual,First Owner,13.0,2198,182,7,2101156.94,1303827.43
Honda City,S (Mid),Good,Metro (High Demand),2023,58337.92,CNG,Automatic,First Owner,17.0,1498,119,5,1693769.48,1337128.72
Toyota Glanza,G (Base),Excellent,Tier 2 (Medium),2022,76367.36,CNG,Automatic,Third Owner,22.0,1197,88,5,1018354.76,535437.46
Hyundai Venue,SX (Top),Good,Metro (High Demand),2011,48801.88,Diesel,Manual,First Owner,18.0,998,118,5,1329650.59,420510.35
Volkswagen Virtus,Trendline (Base),Excellent,Tier 2 (Medium),2022,145246.81,CNG,Automatic,Third Owner,18.0,1498,148,5,1669978.08,779526.33
Hyundai Verna,E (Base),Good,Rural (Low),2024,105894.12,CNG,Automatic,Third Owner,19.0,1497,113,5,1330020.2,638209.66
Volkswagen Virtus,Comfortline (Mid),Poor,Metro (High Demand),2012,75330.11,Diesel,Automatic,First Owner,18.0,1498,148,5,1833226.71,569213.11
Honda City,VX (Top),Fair,Metro (High Demand),2016,120503.93,CNG,Manual,First Owner,17.0,1498,119,5,1571598.45,496305.4
Honda Elevate,E (Base),Excellent,Metro (High Demand),2021,89907.41,Diesel,Manual,Second Owner,15.0,1498,119,5,1491455.8,818219.12
Toyota Innova,G (Base),Good,Tier 2 (Medium),2018,18276.47,Diesel,Automatic,First Owner,11.0,2393,148,7,2820314.58,1612385.87
Tata Harrier,XE (Base),Poor,Metro (High Demand),2022,137313.46,Petrol,Manual,First Owner,16.0,1956,167,5,1895469.88,739109.08
Maruti Suzuki Ertiga,LXI (Base),Excellent,Metro (High Demand),2016,6102.37,Petrol,Automatic,First Owner,20.0,1462,103,7,1126188.15,546525.79
Toyota Fortuner,G (Base),Good,Metro (High Demand),2014,577964.521650617,Petrol,Manual,Second Owner,10.0,2755,201,7,3644627.46,1146589.89
Hyundai Verna,S (Mid),Excellent,Tier 2 (Medium),2025,61748.65,Petrol,Manual,Second Owner,19.0,1497,113,5,1271822.62,1084482.41
Mahindra Bolero,Top,Good,Rural (Low),2024,115082.97,Petrol,Manual,First Owner,16.0,1493,75,7,1088032.38,779457.51
Kia Seltos,GTX (Top),Excellent,Metro (High Demand),2011,126065.28,CNG,Automatic,Second Owner,16.0,1497,113,5,1904550.25,598579.91
Volkswagen Taigun,Comfortline (Mid),Excellent,Metro (High Demand),2023,69762.56,CNG,Automatic,First Owner,16.0,1498,148,5,1696210.56,1503045.38
Kia Carens,GTX (Top),Good,Tier 2 (Medium),2018,113477.97,Diesel,Automatic,Second Owner,16.0,1497,113,7,1566297.28,526205.91
Tata Harrier,XE (Base),Good,Tier 2 (Medium),2023,120434.9,Petrol,Manual,First Owner,16.0,1956,167,5,1872090.8,1184564.8
Maruti Suzuki Brezza,ZXI (Top),Excellent,Metro (High Demand),2024,66123.2,Petrol,Automatic,First Owner,19.0,1462,103,5,1246406.75,1106224.92
Tata Nexon,XM (Mid),Fair,Tier 2 (Medium),2021,47648.28,Diesel,Manual,Second Owner,17.0,1199,118,5,1248352.76,582275.02
Toyota Innova,G (Base),Fair,Tier 2 (Medium),2017,92331.96,Diesel,Manual,First Owner,11.0,2393,148,7,2691787.97,1078790.91
Toyota Urban Cruiser,V (Top),Fair,Rural (Low),2022,131011.51,Diesel,Automatic,Second Owner,18.0,1462,103,5,1468880.11,1308743.34
Maruti Suzuki Dzire,LXI (Base),Poor,Tier 2 (Medium),2015,69395.17,Petrol,Automatic,First Owner,23.0,1197,88,5,849329.37,264954.99
Tata Safari,XM (Mid),Fair,Rural (Low),2016,149339.91,CNG,Manual,Second Owner,14.0,1956,167,7,2146874.72,659669.63
Maruti Suzuki Baleno,VXI (Mid),Good,Metro (High Demand),2020,99068.03,Petrol,Manual,First Owner,22.0,1197,88,5,808967.2,454437.82
Tata Harrier,XM (Mid),Fair,Metro (High Demand),2016,44022.17,Petrol,Manual,Second Owner,16.0,1956,167,5,1904105.83,614238.54
Toyota Innova,G (Base),Good,Metro (High Demand),2019,15484.15,Petrol,Manual,Second Owner,11.0,2393,148,7,2554861.62,1356163.21
Toyota Glanza,G (Base),Good,Metro (High Demand),2020,55921.48,Petrol,Automatic,First Owner,22.0,1197,88,5,996671.53,580800.21
Kia Carens,HTE (Base),Good,Tier 2 (Medium),2014,30566.62,CNG,Manual,First Owner,16.0,1497,113,7,1224534.46,1089060.36
Toyota Innova,G (Base),Good,Tier 2 (Medium),2013,14096.56,Petrol,Manual,Third Owner,11.0,2393,148,7,2561264.88,787400.22
Mahindra Bolero,Base,Good,Rural (Low),2014,107404.03,Petrol,Automatic,First Owner,16.0,1493,75,7,1207181.66,376146.75
Mahindra XUV700,Top,Fair,Metro (High Demand),2019,21860.21,Petrol,Automatic,First Owner,13.0,2198,182,7,2312069.59,1318132.52
Hyundai i20,SX (Top),Good,Rural (Low),2023,33793.79,Diesel,Manual,Second Owner,20.0,1197,82,5,1137230.78,756325.5
Toyota Urban Cruiser,V (Top),Good,Tier 2 (Medium),2022,142708.9,Petrol,Manual,Second Owner,18.0,1462,103,5,1206193.53,588614.14
Honda City,E (Base),Good,Tier 2 (Medium),2013,42654.46,Petrol,Manual,First Owner,17.0,1498,119,5,1539338.1,489882.59
Hyundai Creta,E (Base),Excellent,Metro (High Demand),2022,539408.7972200079,Diesel,Automatic,Second Owner,16.0,1497,113,5,1788412.78,1301897.77
Volkswagen Polo,Highline (Top),Fair,Metro (High Demand),2025,65154.58,Diesel,Manual,First Owner,18.0,999,108,5,1087319.59,948824.81
Tata Tiago,XZ (Top),Good,Rural (Low),2022,125237.95,Diesel,Automatic,Third Owner,20.0,1199,84,5,951513.62,426076.69
Maruti Suzuki Brezza,VXI (Mid),Good,Tier 2 (Medium),2014,68595.43,Diesel,Manual,Second Owner,19.0,1462,103,5,1105122.41,357031.87
Hyundai i20,E (Base),Poor,Metro (High Demand),2021,105414.3,Petrol,Automatic,First Owner,20.0,1197,82,5,973649.63,369611.64
Toyota Glanza,G (Base),Fair,Tier 2 (Medium),2024,13497.81,Diesel,Manual,First Owner,22.0,1197,88,5,1018520.68,787045.45
Mahindra Thar,Mid,Good,Rural (Low),2018,116878.99,CNG,Automatic,First Owner,15.0,1997,150,4,1798975.96,645563.39
Hyundai Venue,S (Mid),Fair,Tier 2 (Medium),2025,59656.35,Diesel,Automatic,First Owner,18.0,998,118,5,1335251.01,1045510.89
Honda Elevate,E (Base),Excellent,Tier 2 (Medium),2025,23136.97,CNG,Automatic,First Owner,15.0,1498,119,5,1523597.8,1345739.69
Volkswagen Polo,Comfortline (Mid),Poor,Rural (Low),2017,145431.14,Petrol,Manual,First Owner,18.0,999,108,5,949525.41,314406.57
Toyota Glanza,G (Base),Good,Tier 2 (Medium),2016,100978.02,CNG,Manual,Third Owner,22.0,1197,88,5,934240.0,303298.1
Kia Carens,HTE (Base),Good,Tier 2 (Medium),2012,60989.65,Diesel,Manual,First Owner,16.0,1497,113,7,1324116.4,412480.96
Hyundai Venue,SX (Top),Fair,Metro (High Demand),2014,99748.21,CNG,Automatic,First Owner,18.0,998,118,5,1272721.06,392129.16
Tata Nexon,XM (Mid),Good,Tier 2 (Medium),2023,119892.61,Diesel,Automatic,First Owner,17.0,1199,118,5,1445343.77,966634.26
